,id,npo,year,metric_id,metric_code,metric_name,unit,office,office_type,home_office,region,scenario,value_us_consolidated,value_non_consolidated,currency,metric_description,check_not_same_value_us,office_type_fe,graph_fe,region_gsheet_andreas,Field1,office_gsheet_andreas,value_non_consolidated_float,group_dataset,office_type_gsheet_andreas,country_gsheet_andreas,value_us_consolidated_float,OBJECTID_1,country_opensource_data_name,year_time,office_1,country
503,87534,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Japan,National Office,National Office,Asia/Pacific,Actual,56641.0,56641.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Japan,56641.0,non_regional,National Office / Partners,Japan,56641.0,0,Japan,2018-01-01 00:00:00,,Japan
504,87535,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Kenya,National Office,National Office,Africa,Actual,65.0,65.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-Kenya,65.0,non_regional,National Office / Partners,Kenya,65.0,0,Kenya,2018-01-01 00:00:00,,Kenya
505,87536,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Korea,National Office,National Office,Asia/Pacific,Actual,208099.0,208099.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Korea,208099.0,non_regional,National Office / Partners,South Korea,208099.0,0,"Korea, Republic of",2018-01-01 00:00:00,,South Korea
506,87537,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Laos,Country Office,International Country Office,Asia/Pacific,Actual,20.0,20.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Laos,20.0,non_regional,Country Office,Laos,20.0,0,Lao People's Democratic Republic,2018-01-01 00:00:00,,Laos
507,87538,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Madagascar,Country Office,International Country Office,Africa,Actual,0.0,0.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-Madagascar,0.0,non_regional,Country Office,Madagascar,0.0,0,Madagascar,2018-01-01 00:00:00,,Madagascar
508,87539,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Malaysia,National Office,National Office,Asia/Pacific,Actual,245585.0,245585.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,National Office / Partners,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Malaysia,245585.0,non_regional,National Office / Partners,Malaysia,245585.0,0,Malaysia,2018-01-01 00:00:00,,Malaysia
509,87541,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Mexico,Country Office,US Country Office,Latin America/Caribbean,Actual,663.0,663.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Latin America/Caribbean,0,WWF-Mexico,663.0,non_regional,Country Office,Mexico,663.0,0,Mexico,2018-01-01 00:00:00,,Mexico
510,87542,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Mongolia,Country Office,International Country Office,Asia/Pacific,Actual,6.0,6.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Mongolia,6.0,non_regional,Country Office,Mongolia,6.0,0,Mongolia,2018-01-01 00:00:00,,Mongolia
511,87543,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Mozambique,Country Office,International Country Office,Africa,Actual,24.0,24.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-Mozambique,24.0,non_regional,Country Office,Mozambique,24.0,0,Mozambique,2018-01-01 00:00:00,,Mozambique
512,87544,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Myanmar,Country Office,International Country Office,Asia/Pacific,Actual,9.0,9.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Myanmar,9.0,non_regional,Country Office,Myanmar,9.0,0,Burma,2018-01-01 00:00:00,,Myanmar
513,87545,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Namibia,Country Office,US Country Office,Africa,Actual,33.0,33.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Africa,0,WWF-Namibia,33.0,non_regional,Country Office,Namibia,33.0,0,Namibia,2018-01-01 00:00:00,,Namibia
514,87546,NPO FY2025,2018,1354.0,DDD400,Total Supporters and partners,Number,WWF-Nepal,Country Office,US Country Office,Asia/Pacific,Actual,9.0,9.0,,"A supporter/partner is allocated to one category only, so that the overall total of WWF supporters and partners can be established without double counting. All categories will count supporters or partners who have been active within the past 12 months of the period under review. After careful consideration, it has been decided that this will be a clearer and more coherent way to count our supporters across the entire Network.",0,Country Office,Supporters & Partners (EUR) by WWF Office,Asia/Pacific,0,WWF-Nepal,9.0,non_regional,Country Office,Nepal,9.0,0,Nepal,2018-01-01 00:00:00,,Nepal
